epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.793,1.10346,0.62966,1.42691,0.97193,0.96966,0.99124,0.72467,1.01045,0.54101,1.26529,0.00332518,0.00332518,0.00332518
2,405.229,1.06062,0.59861,1.38131,0.98696,0.98845,0.99351,0.74516,0.97695,0.49531,1.24228,0.00665689,0.00665689,0.00665689
3,605.164,1.08154,0.59615,1.38152,0.87437,0.86444,0.92983,0.56265,1.40512,0.75726,1.54648,0.00998209,0.00998209,0.00998209
4,806.802,1.10265,0.60563,1.3883,0.97801,0.98157,0.99277,0.73814,0.98582,0.50714,1.22034,0.00997803,0.00997803,0.00997803
5,1006.94,1.07851,0.58817,1.36566,0.97167,0.97389,0.99187,0.71978,1.05504,0.52555,1.25168,0.00996097,0.00996097,0.00996097
6,1207.41,1.067,0.5733,1.3501,0.96953,0.96549,0.99068,0.69428,1.11073,0.53793,1.27912,0.00993906,0.00993906,0.00993906
7,1407.9,1.05181,0.56017,1.33709,0.98318,0.99194,0.99418,0.77964,0.91257,0.4091,1.144,0.00991232,0.00991232,0.00991232
8,1609.25,1.04258,0.55445,1.31791,0.98885,0.98752,0.99381,0.76369,0.90633,0.41548,1.14233,0.00988079,0.00988079,0.00988079
9,1810.03,1.03583,0.54932,1.32296,0.98538,0.98733,0.99334,0.74158,1.00689,0.43207,1.19478,0.00984449,0.00984449,0.00984449
10,2010.65,1.02859,0.53989,1.31294,0.99172,0.99462,0.9948,0.783,0.88374,0.37825,1.12615,0.00980345,0.00980345,0.00980345
11,2212.11,1.01867,0.53589,1.30619,0.99208,0.99424,0.99427,0.78,0.89575,0.39143,1.13137,0.00975773,0.00975773,0.00975773
12,2413.93,1.01196,0.52952,1.29603,0.99068,0.99117,0.99477,0.78781,0.88301,0.36906,1.12113,0.00970736,0.00970736,0.00970736
13,2614.81,1.00953,0.52655,1.29186,0.99417,0.99232,0.99461,0.7991,0.84584,0.34886,1.09708,0.00965239,0.00965239,0.00965239
14,2815.83,0.99763,0.5264,1.28407,0.99259,0.99002,0.99392,0.78847,0.87359,0.35558,1.12202,0.00959289,0.00959289,0.00959289
15,3017.21,0.99181,0.51584,1.27912,0.99576,0.99284,0.9948,0.80063,0.83171,0.34307,1.0873,0.00952889,0.00952889,0.00952889
16,3217.98,0.98893,0.51756,1.27878,0.99341,0.99232,0.99457,0.80716,0.8181,0.33115,1.08053,0.00946048,0.00946048,0.00946048
17,3418.68,0.98727,0.51111,1.27632,0.995,0.99616,0.9947,0.80712,0.82061,0.32861,1.07473,0.00938772,0.00938772,0.00938772
18,3619.1,0.98416,0.50682,1.27226,0.99416,0.99539,0.99496,0.81324,0.79812,0.31459,1.06255,0.00931067,0.00931067,0.00931067
19,3820.03,0.9756,0.50093,1.26836,0.99543,0.99309,0.99493,0.82019,0.78088,0.30899,1.05361,0.00922942,0.00922942,0.00922942
20,4021.26,0.98069,0.50071,1.26983,0.99401,0.99731,0.99492,0.81659,0.79189,0.31318,1.05985,0.00914405,0.00914405,0.00914405
21,4222.87,0.97281,0.49798,1.2654,0.99272,0.99512,0.99489,0.81778,0.787,0.30562,1.05673,0.00905463,0.00905463,0.00905463
22,4424.04,0.96451,0.49063,1.25442,0.9964,0.99462,0.99495,0.82043,0.77778,0.29903,1.05102,0.00896127,0.00896127,0.00896127
23,4625.39,0.96311,0.48918,1.25468,0.99846,0.99535,0.99499,0.8267,0.76357,0.29497,1.04496,0.00886404,0.00886404,0.00886404
24,4826,0.96055,0.49027,1.25364,0.99755,0.99462,0.99478,0.82359,0.77824,0.29074,1.04981,0.00876305,0.00876305,0.00876305
25,5027.67,0.95708,0.48321,1.24888,0.99388,0.99841,0.99484,0.82715,0.77158,0.28976,1.04607,0.00865839,0.00865839,0.00865839
26,5228.95,0.95968,0.48492,1.24956,0.99769,0.99606,0.99495,0.82345,0.76829,0.28726,1.04517,0.00855018,0.00855018,0.00855018
27,5429.45,0.95495,0.47876,1.24563,0.99593,0.99539,0.99487,0.82571,0.76356,0.28263,1.03936,0.00843851,0.00843851,0.00843851
28,5630.83,0.948,0.47463,1.24018,0.99522,0.99731,0.99481,0.82934,0.7524,0.27704,1.03511,0.00832349,0.00832349,0.00832349
29,5831.03,0.95109,0.47771,1.23879,0.9983,0.99578,0.99491,0.83093,0.75412,0.27653,1.03407,0.00820525,0.00820525,0.00820525
30,6031.43,0.94798,0.48132,1.23848,0.99731,0.99738,0.99496,0.83188,0.75031,0.27486,1.03341,0.00808389,0.00808389,0.00808389
31,6232.07,0.94189,0.46991,1.23376,0.99578,0.99722,0.99494,0.8324,0.74661,0.27205,1.03048,0.00795954,0.00795954,0.00795954
32,6433.52,0.93907,0.46994,1.23815,0.99737,0.99616,0.99493,0.8347,0.74506,0.27014,1.02876,0.00783231,0.00783231,0.00783231
33,6634.43,0.92965,0.4619,1.22312,0.99626,0.99808,0.99489,0.83512,0.74537,0.26864,1.02895,0.00770234,0.00770234,0.00770234
34,6836.64,0.93294,0.4644,1.22444,0.99662,0.9977,0.9949,0.8365,0.74347,0.26787,1.02694,0.00756976,0.00756976,0.00756976
35,7037.77,0.92986,0.46158,1.22414,0.99808,0.99724,0.9949,0.83804,0.73886,0.26492,1.0235,0.00743468,0.00743468,0.00743468
36,7237.18,0.92266,0.45942,1.2194,0.99684,0.99808,0.99494,0.8393,0.73647,0.26414,1.02311,0.00729725,0.00729725,0.00729725
37,7436.95,0.92182,0.45228,1.22076,0.99808,0.99627,0.99495,0.83895,0.73592,0.26293,1.02289,0.00715761,0.00715761,0.00715761
38,7638.1,0.9198,0.45445,1.21922,0.99731,0.99837,0.99493,0.83844,0.73532,0.26197,1.0227,0.00701588,0.00701588,0.00701588
39,7838.67,0.91592,0.45101,1.21259,0.99722,0.99846,0.99494,0.83932,0.73286,0.2611,1.02117,0.00687222,0.00687222,0.00687222
40,8038.62,0.91185,0.4482,1.21243,0.99706,0.99846,0.99497,0.84003,0.73145,0.26017,1.02032,0.00672675,0.00672675,0.00672675
41,8239.48,0.91143,0.45056,1.21389,0.99685,0.99885,0.99497,0.83995,0.7289,0.25901,1.01864,0.00657963,0.00657963,0.00657963
42,8439.37,0.90953,0.44859,1.21131,0.99761,0.99846,0.99497,0.8414,0.72736,0.25848,1.01788,0.00643101,0.00643101,0.00643101
43,8639.06,0.91243,0.44401,1.20775,0.99685,0.99885,0.99497,0.84088,0.72569,0.25772,1.01674,0.00628101,0.00628101,0.00628101
44,8840.21,0.9075,0.44345,1.20372,0.99725,0.99885,0.99497,0.84065,0.72471,0.25673,1.01614,0.00612981,0.00612981,0.00612981
45,9040.71,0.90037,0.43976,1.20295,0.99687,0.99885,0.99497,0.84154,0.72338,0.2561,1.01538,0.00597754,0.00597754,0.00597754
46,9240.1,0.89944,0.43899,1.20804,0.99651,0.99885,0.99497,0.84201,0.72253,0.2554,1.01508,0.00582435,0.00582435,0.00582435
47,9441.17,0.89419,0.43746,1.19972,0.99616,0.99885,0.99496,0.8425,0.72149,0.25465,1.01443,0.0056704,0.0056704,0.0056704
48,9642.32,0.89429,0.4369,1.20266,0.99693,0.99881,0.99496,0.84274,0.72052,0.2536,1.01415,0.00551584,0.00551584,0.00551584
49,9843.94,0.89249,0.43578,1.19465,0.99655,0.99872,0.99496,0.84363,0.71945,0.25313,1.01354,0.00536081,0.00536081,0.00536081
50,10045.2,0.88575,0.42832,1.19006,0.99617,0.99884,0.99496,0.84446,0.71871,0.25259,1.01298,0.00520548,0.00520548,0.00520548
51,10245.9,0.88145,0.43113,1.19141,0.99617,0.99881,0.99496,0.84431,0.71821,0.25143,1.0125,0.00505,0.00505,0.00505
52,10447.3,0.88215,0.42561,1.19295,0.99617,0.99883,0.99496,0.84464,0.71727,0.25111,1.01171,0.00489452,0.00489452,0.00489452
53,10647.9,0.87411,0.42211,1.18444,0.99655,0.99883,0.99496,0.84476,0.71677,0.25095,1.01147,0.00473919,0.00473919,0.00473919
54,10849,0.87386,0.41959,1.17776,0.99731,0.99809,0.99496,0.8454,0.71599,0.25047,1.01083,0.00458416,0.00458416,0.00458416
55,11049.5,0.8722,0.41756,1.17781,0.99787,0.99808,0.99496,0.8455,0.71525,0.25004,1.01043,0.0044296,0.0044296,0.0044296
56,11249.5,0.86456,0.41358,1.17589,0.9977,0.99821,0.99496,0.8455,0.71418,0.24984,1.00978,0.00427565,0.00427565,0.00427565
57,11448.9,0.86704,0.41648,1.17554,0.9979,0.99808,0.99496,0.84617,0.71336,0.24972,1.00924,0.00412246,0.00412246,0.00412246
58,11649.9,0.85855,0.40984,1.1724,0.99792,0.99808,0.99496,0.84685,0.71242,0.24924,1.00863,0.00397019,0.00397019,0.00397019
59,11849.9,0.85703,0.40989,1.1719,0.9977,0.9984,0.99496,0.84662,0.71123,0.24874,1.00794,0.00381899,0.00381899,0.00381899
60,12050.4,0.8535,0.4075,1.16939,0.99693,0.99854,0.99496,0.84677,0.71029,0.24803,1.00732,0.00366899,0.00366899,0.00366899
61,12251.2,0.8528,0.40879,1.17306,0.99783,0.99808,0.99496,0.8469,0.70938,0.24716,1.00677,0.00352037,0.00352037,0.00352037
62,12451.8,0.84774,0.40557,1.17007,0.9977,0.99824,0.99496,0.84732,0.70855,0.24698,1.00619,0.00337325,0.00337325,0.00337325
63,12652.8,0.84468,0.40064,1.16223,0.9977,0.99809,0.99496,0.84783,0.70763,0.24636,1.00554,0.00322778,0.00322778,0.00322778
64,12853.7,0.84464,0.39992,1.1619,0.9976,0.99808,0.99496,0.84787,0.70684,0.24573,1.00508,0.00308412,0.00308412,0.00308412
65,13054.9,0.84514,0.39891,1.1623,0.99808,0.99829,0.99496,0.84806,0.70625,0.24513,1.00466,0.00294239,0.00294239,0.00294239
66,13255.5,0.83915,0.39503,1.1605,0.99808,0.99841,0.99496,0.84768,0.70518,0.24434,1.00397,0.00280275,0.00280275,0.00280275
